"fire","point","int.1","int.2","int.3","int.4","int.5","fa","lat","snag.ct","cc","elev.res"
"Power","BW09",0,NA,0,0,0,5,38.5008333522879,0,96.8632194838198,-1086.94443524941
"McNally","RM06",0,NA,0,0,0,7,35.9578167789519,0,67.1554116358916,-2070.59964553024
"Antelope Complex","RM03",0,0,0,1,NA,2,40.1006511621736,0,98.6201987379194,602.859984860454
"Storrie","RM04",0,NA,0,0,0,9,39.9947330808273,3,0,911.89405193603
"Antelope Complex","RM07",0,0,0,0,0,2,40.0933422544642,0,43.7469740997963,279.343065980001
"McNally","RM10",0,NA,0,0,0,7,35.9506997046142,6,93.6811189447225,-1354.02425753891
"Antelope Complex","RM05",0,0,0,0,0,2,40.0971807412646,7,99.7395933389125,481.19007886311
"Scotch","HP11",0,0,0,0,0,1,39.7994597216288,11,81.0372023946793,-382.068081821845
"Scotch","RM03",0,0,0,0,0,1,39.7842118874072,0,0.784731391541843,-309.405073639511
"Fletcher","HP02",0,NA,0,0,1,2,41.9736759721564,1,67.8367764148586,904.12684711849
"Power","BW10",0,0,0,0,0,5,38.5007185531229,0,99.1171813560458,-1246.99967460485
"Antelope Complex","RM04",0,NA,0,0,0,2,40.0988926732491,1,86.4613597828508,482.013830668127
"Kibbie","DM06",0,0,0,0,0,6,38.0425185266616,8,6.26342875714387,112.522466300948
"Fletcher","HP01",0,0,0,0,0,2,41.9730996658357,1,99.7718235131052,1053.84953857106
"Peavine","DM08",0,0,0,0,0,1,39.0656702793268,0,6.86165387982889,-1335.15475995702
"Fletcher","RM06",0,NA,1,NA,NA,2,41.9643573783952,6,48.666363603653,999.642902370374
"Fletcher","HP08",0,NA,0,1,NA,2,41.9767597723446,0,60.3040612715885,780.610717969873
"Fall","BW04",0,0,0,0,0,1,39.3880955320467,33,20.6531037999126,-190.009353295651
"Hooker","RG09",0,0,0,0,0,6,36.1145057000214,8,12.159467211058,964.796329734065
"Antelope Complex","RM09",0,0,0,0,0,2,40.0892921120841,1,60.2470308180776,197.394208124435
"Antelope Complex","RM11",0,0,0,0,0,2,40.0843773360364,0,17.1618937701836,155.029303632189
"Government","BW09",0,NA,0,0,1,1,39.1946380426123,1,34.4984499316377,-353.097722202233
"Moonlight","HP03",0,0,0,1,NA,2,40.2119333330806,0,39.2314465351845,-263.592975899025
"Power","DM07",0,NA,0,0,0,5,38.5121280254538,0,60.8774797613451,-561.509635565926
"Bassetts","RG09",0,NA,0,1,NA,3,39.6208624299592,0,97.885621980684,171.994017188836
"Fletcher","RM04",1,NA,1,NA,NA,2,41.9688696729708,2,88.8167395218003,1451.81413979983
